antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Southern Sumatra - Indonesia, Sumbawa Region - Indonesia","Minahassa Peninsula - Sulawesi, Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.0696976690514655,0.3150242326332795,0.04315716593584122,0.619205298013245,1.9655798947189673,1.0,0.021200711226575027,1.7988059282152136,0.5280480023136201,0.12635135135135137,0.444075659127827,0.37810081750479096
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Northern Molucca Sea, Southern Sumatra - Indonesia","Minahassa Peninsula - Sulawesi, Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.06577429033002538,0.3150242326332795,0.04038772213247173,0.6140350877192983,1.9491677912730545,1.0,0.019667226794256948,1.7747099427228668,0.5212450592885376,0.11864406779661017,0.4365276398543529,0.37112010796221323
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Northern Molucca Sea, Sumbawa Region - Indonesia","Minahassa Peninsula - Sulawesi, Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.06623586429725363,0.3150242326332795,0.04038772213247173,0.6097560975609757,1.9355847404627895,1.0,0.019521819809427368,1.7552504038772216,0.5176470588235293,0.11848341232227487,0.4302807179015188,0.36898061288305195
"Near North Coast of Irian Jaya, Sulawesi - Indonesia, Talaud Islands - Indonesia","Northern Molucca Sea, Sumbawa Region - Indonesia",0.06762058619893838,0.3297945995845834,0.041310870066928226,0.6109215017064847,1.8524302777426163,1.0,0.019009965917774537,1.7225454589624307,0.49354223131810393,0.11600777705767987,0.4194637971398755,0.3680919614900513
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Southern Sumatra - Indonesia, Sumbawa Region - Indonesia","Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.0696976690514655,0.37110546965151164,0.04754211862450958,0.6821192052980132,1.8380737043260518,1.0,0.021676932417549845,1.9783973767212857,0.4901118275115428,0.12089201877934272,0.49454037304818027,0.4051143290171658
"Halmahera - Indonesia, Java - Indonesia, Near North Coast of Irian Jaya, Northern Molucca Sea","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06623586429725363,0.3526425109623817,0.0429263789522271,0.6480836236933799,1.8377921082875754,1.0,0.019568797450680006,1.8395207856811537,0.48820552889087326,0.11418047882136281,0.4563801573844617,0.3849056861922397
"Halmahera - Indonesia, Java - Indonesia, Near North Coast of Irian Jaya, Northern Sumatra - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06692822524809601,0.3526425109623817,0.04315716593584122,0.6448275862068966,1.8285588553890597,1.0,0.01955542853009677,1.8226570079699937,0.4856231341951032,0.11465358675659107,0.4513504210461615,0.3836048925798881
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Minahassa Peninsula - Sulawesi, Northern Molucca Sea, Sumbawa Region - Indonesia","Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.05954304177244404,0.37110546965151164,0.04038772213247173,0.6782945736434108,1.827767653978171,1.0,0.01829097365102931,1.954876973854337,0.4815579316389133,0.10348905972797162,0.4884588578337245,0.3935627097072776
"Flores Region - Indonesia, Irian Jaya Region - Indonesia, Northern Molucca Sea, Northern Sumatra - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06738979921532426,0.3526425109623817,0.043387952919455346,0.6438356164383562,1.825745893996988,1.0,0.019623444910912658,1.8175806422979286,0.4849600109515762,0.11519607843137257,0.44981808414523966,0.38343613282650796
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Minahassa Peninsula - Sulawesi, Southern Sumatra - Indonesia, Sumbawa Region - Indonesia","Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.06369720747749827,0.37110546965151164,0.04315716593584122,0.677536231884058,1.8257241870358354,1.0,0.019518783839414446,1.950279667148121,0.483040470092624,0.1101944608131998,0.487253024863715,0.3969148821111832
